ID,Title,Year,Age,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Type,Total_Platforms
1,The Irishman,2019,18+,98,1,0,0,0,Movie,1
2,Dangal,2016,7+,97,1,0,0,0,Movie,1
3,David Attenborough: A Life on Our Planet,2020,7+,95,1,0,0,0,Movie,1
4,Lagaan: Once Upon a Time in India,2001,7+,94,1,0,0,0,Movie,1
5,Roma,2018,18+,94,1,0,0,0,Movie,1
6,To All the Boys I've Loved Before,2018,13+,94,1,0,0,0,Movie,1
7,The Social Dilemma,2020,13+,93,1,0,0,0,Movie,1
8,Okja,2017,13+,92,1,0,0,0,Movie,1
9,The Ballad of Buster Scruggs,2018,16+,92,1,0,0,0,Movie,1
10,The Trial of the Chicago 7,2020,18+,92,1,0,0,0,Movie,1
11,Article 15,2019,18+,92,1,0,0,0,Movie,1
12,"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,18+,92,1,0,0,0,Movie,1
13,Dolemite Is My Name,2019,18+,92,1,0,0,0,Movie,1
14,Mudbound,2017,18+,91,1,0,0,0,Movie,1
15,Swades,2004,all,91,1,0,0,0,Movie,1
16,Fyre,2019,18+,91,1,0,0,0,Movie,1
17,Miss Americana,2020,18+,90,1,0,0,0,Movie,1
18,Virunga,2014,16+,90,1,0,0,0,Movie,1
19,Black Friday,2004,18+,90,1,0,0,0,Movie,1
20,Talvar,2015,7+,90,1,0,0,0,Movie,1
21,The King,2019,18+,90,1,0,0,0,Movie,1
22,John Mulaney: Kid Gorgeous at Radio City,2018,18+,89,1,0,0,0,Movie,1
23,I Am Mother,2019,13+,89,1,0,0,0,Movie,1
24,Tell Me Who I Am,2019,18+,89,1,0,0,0,Movie,1
25,The Departed,2006,18+,89,1,0,0,0,Movie,1
26,Winter on Fire: Ukraine's Fight for Freedom,2015,16+,89,1,0,0,0,Movie,1
27,Terminator 2: Judgment Day,1991,18+,89,1,0,0,0,Movie,1
28,I Lost My Body,2019,18+,89,1,0,0,0,Movie,1
29,Django Unchained,2012,18+,89,1,0,0,0,Movie,1
30,The Half of It,2020,13+,89,1,0,0,0,Movie,1
31,The Boy Who Harnessed the Wind,2019,7+,89,1,0,0,0,Movie,1
32,The Devil All the Time,2020,18+,89,1,0,0,0,Movie,1
33,The Fundamentals of Caring,2016,18+,89,1,0,0,0,Movie,1
34,Pieces of a Woman,2020,18+,88,1,0,0,0,Movie,1
35,Gerald's Game,2017,18+,88,1,0,0,0,Movie,1
36,On Body and Soul,2017,Unknown,88,1,0,0,0,Movie,1
37,Shutter Island,2010,18+,88,1,0,0,0,Movie,1
38,Always Be My Maybe,2019,13+,88,1,0,0,0,Movie,1
39,The Intouchables,2011,7+,88,1,0,0,0,Movie,1
40,Bill Burr: Paper Tiger,2019,18+,87,1,0,0,0,Movie,1
41,Special 26,2013,Unknown,87,1,0,0,0,Movie,1
42,Kiss the Ground,2020,18+,87,1,0,0,0,Movie,1
43,Crip Camp: A Disability Revolution,2020,18+,87,1,0,0,0,Movie,1
44,Extraction,2020,18+,87,1,0,0,0,Movie,1
45,No Direction Home: Bob Dylan,2005,all,87,1,0,0,0,Movie,1
46,Kabhi Khushi Kabhie Gham,2001,all,87,1,0,0,0,Movie,1
47,His House,2020,16+,87,1,0,0,0,Movie,1
48,Super Deluxe,2019,18+,87,1,0,0,0,Movie,1
49,The Guernsey Literary & Potato Peel Pie Society,2018,16+,87,1,0,0,0,Movie,1
50,A Secret Love,2020,18+,87,1,0,0,0,Movie,1
51,The Night Comes for Us,2018,18+,87,1,0,0,0,Movie,1
52,The Big Lebowski,1998,18+,87,1,0,0,0,Movie,1
53,Pad Man,2018,13+,87,1,0,0,0,Movie,1
54,American Factory,2019,13+,86,1,0,0,0,Movie,1
55,Bird Box,2018,18+,86,1,0,0,0,Movie,1
56,The Pianist,2002,18+,86,1,0,0,0,Movie,1
57,3 Idiots,2009,13+,86,1,0,0,0,Movie,1
58,The Distinguished Citizen,2016,Unknown,86,1,0,0,0,Movie,1
59,A Shaun the Sheep Movie: Farmageddon,2019,all,86,1,0,0,0,Movie,1
60,A Clockwork Orange,1971,18+,86,1,0,0,0,Movie,1
61,What Happened to Monday,2017,18+,86,1,0,0,0,Movie,1
62,Anthony Jeselnik: Thoughts and Prayers,2015,18+,86,1,0,0,0,Movie,1
63,The White Helmets,2016,16+,86,1,0,0,0,Movie,1
64,Invader ZIM: Enter the Florpus,2019,7+,86,1,0,0,0,Movie,1
65,Happy as Lazzaro,2018,13+,85,1,0,0,0,Movie,1
66,Chasing Coral,2017,Unknown,85,1,0,0,0,Movie,1
67,Kal Ho Naa Ho,2003,all,85,1,0,0,0,Movie,1
68,Pan's Labyrinth,2006,18+,85,1,0,0,0,Movie,1
69,Team Foxcatcher,2016,16+,85,1,0,0,0,Movie,1
70,The Meyerowitz Stories (New and Selected),2017,18+,85,1,0,0,0,Movie,1
71,Casino Royale,2006,13+,85,1,0,0,0,Movie,1
72,The Hateful Eight,2015,18+,85,1,0,0,0,Movie,1
73,Rush,2013,18+,84,1,0,0,0,Movie,1
74,Zombieland,2009,18+,84,1,0,0,0,Movie,1
75,Eurovision Song Contest: The Story of Fire Saga,2020,13+,84,1,0,0,0,Movie,1
76,Kapoor & Sons,2016,13+,84,1,0,0,0,Movie,1
77,The Perfection,2018,18+,84,1,0,0,0,Movie,1
78,Dave Chappelle: Sticks & Stones,2019,18+,84,1,0,0,0,Movie,1
